Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
251,Call of Duty: Black Ops,PS3,2010,Shooter,Activision  ,Treyarch  ,8.7,,6.01,4.4,0.48,1.78,12.67,,12.67
252,Grand Theft Auto V,PC,2015,Action,Rockstar Games  ,Rockstar North  ,,,,,,,,12.6,12.6
253,Final Fantasy VII,All,N/A,Role-Playing,Unknown  ,Square  ,,,,,,,,12.6,12.6
254,Fable,Series,2004,Role-Playing,Microsoft Game Studios  ,Big Blue Box  ,,,,,,,,12.58,12.58
255,Batman: Arkham City,All,N/A,Action-Adventure,Unknown  ,Rocksteady Studios  ,,,,,,,,12.5,12.5
256,Myst,Series,1993,Adventure,Broderbund  ,"Cyan, Inc.  ",,,,,,,,12.5,12.5
257,"Pokémon: Let's Go, Pikachu/Eevee",NS,2018,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,,12.49,12.49
258,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,,,,,,12.4,12.4
259,Mario & Luigi,Series,2003,Role-Playing,Nintendo  ,AlphaDream  ,,,,,,,,12.15,12.15
260,Wario,Series,1994,Platform,Nintendo  ,Nintendo  ,,,,,,,,12.13,12.13
261,Super Mario Party,NS,2018,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",7.3,,,,,,,12.1,12.1
262,Assassin's Creed III,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,12,12
263,Cooking Mama,Series,2006,Simulation,Majesco Entertainment  ,Cooking Mama Limited  ,,,,,,,,12,12
264,Diablo III,PC,2012,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,9,,,,,,,12,12
265,Half-Life 2,PC,2004,Shooter,VU Games  ,Valve Software  ,9.7,,,,,,,12,12
266,Jak and Daxter,Series,2001,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,,12,12
267,Left 4 Dead,Series,2008,Shooter,Valve  ,Valve  ,,,,,,,,12,12
268,NBA 2K19,All,N/A,Sports,Unknown  ,Visual Concepts  ,,,,,,,,12,12
269,Pokémon FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo  ,Game Freak  ,8.3,,,,,,,12,12
270,SOCOM,Series,2002,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,,,,,,,,12,12
271,World of Warcraft,PC,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,8,,,,,,12,12
272,Yakuza,Series,2006,Action-Adventure,Sega  ,Sega  ,,,,,,,,12,12
273,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,,,,,,11.95,11.95
274,Super Mario 64,N64,1996,Platform,Nintendo  ,Nintendo EAD  ,9.7,,,,,,,11.91,11.91
275,Resident Evil 5,All,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,,11.9,11.9
276,FIFA 18,PS4,2017,Sports,EA Sports  ,EA Vancouver  ,8.3,,1.27,8.64,0.15,1.73,11.8,,11.8
277,The Last of Us Remastered,PS4,2014,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,9.5,,,,,,,11.78,11.78
278,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.7,,,,,,,11.76,11.76
279,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.5,,,,,,,11.75,11.75
280,Max Payne,Series,N/A,Shooter,Unknown  ,Remedy Entertainment  ,,,,,,,,11.5,11.5
281,The Room,Series,N/A,Puzzle,Unknown  ,Fireproof Games  ,,,,,,,,11.5,11.5
282,Splatoon 2,NS,2017,Shooter,Nintendo  ,Nintendo EPD  ,8.2,,,,,,,11.27,11.27
283,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo  ,Nintendo R&D1  ,9,,,,,,,11.18,11.18
284,Wii Party,Series,2010,Party,Nintendo  ,NDcube  ,,,,,,,,11.13,11.13
285,Grand Theft Auto IV,X360,2008,Action,Rockstar Games  ,Rockstar North  ,10,,6.8,3.11,0.14,1.04,11.09,,11.09
286,Super Mario 64 DS,DS,2004,Platform,Nintendo  ,Nintendo EAD  ,8.6,,,,,,,11.06,11.06
287,Assassin's Creed IV: Black Flag,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,11,11
288,BioShock Infinite,All,N/A,Shooter,Unknown  ,Irrational Games  ,,,,,,,,11,11
289,Call of Duty: World at War,All,N/A,Shooter,Unknown  ,Treyarch  ,,,,,,,,11,11
290,Dance Dance Revolution,Series,1998,Music,Konami  ,Konami  ,,,,,,,,11,11
291,Fall Guys: Ultimate Knockout,PC,2020,Party,Devolver Digital  ,Mediatonic  ,,,,,,,,11,11
292,God of War (2018),PS4,2018,Action,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.7,10,,,,,,11,11
293,Mortal Kombat X,All,N/A,Fighting,Unknown  ,NetherRealm Studios  ,,,,,,,,11,11
294,Need for Speed: Underground 2,All,N/A,Racing,Unknown  ,EA Black Box  ,,,,,,,,11,11
295,StarCraft,PC,1998,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,,,,,,,11,11
296,Tomb Raider (2013),All,N/A,Action-Adventure,Unknown  ,Crystal Dynamics  ,,,,,,,,11,11
297,FIFA 17,PS4,2016,Sports,Electronic Arts  ,EA Canada  ,8.9,,1.26,7.95,0.12,1.61,10.94,,10.94
298,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.5,,,,,,,10.85,10.85
299,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,,,,,,10.8,10.8
300,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision  ,Infinity Ward  ,9.5,,4.99,3.66,0.38,1.59,10.61,,10.61
301,Farming Simulator,Series,2008,Simulation,Astragon  ,Giants Software  ,,,,,,,,10.58,10.58
302,Grand Theft Auto IV,PS3,2008,Action,Rockstar Games  ,Rockstar North  ,10,9,4.79,3.73,0.44,1.62,10.57,,10.57
303,Super Mario All-Stars,SNES,1993,Platform,Nintendo  ,Nintendo EAD  ,,9.5,,,,,,10.55,10.55
304,Borderlands 3,All,N/A,Shooter,Unknown  ,Gearbox Software  ,,,,,,,,10.5,10.5
305,Rocket League,Series,2015,Sports,Psyonix  ,Psyonix  ,,,,,,,,10.5,10.5
306,Call of Duty: Ghosts,X360,2013,Shooter,Activision  ,Infinity Ward  ,6.9,,6.76,2.64,0.04,0.98,10.41,,10.41
307,Resident Evil 4,All,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,,10.4,10.4
308,Tomodachi,Series,2014,Simulation,Nintendo  ,Nintendo  ,,,,,,,,10.39,10.39
309,Star Fox,Series,1993,Shooter,Nintendo  ,Nintendo  ,,,,,,,,10.27,10.27
310,Just Dance 3,Wii,2011,Misc,Ubisoft  ,Ubisoft Paris  ,7.5,,5.95,3.13,,1.06,10.14,,10.14
311,Call of Duty: Ghosts,PS3,2013,Shooter,Activision  ,Infinity Ward  ,7.5,,4.11,4.01,0.39,1.62,10.13,,10.13
312,Dragon Ball Xenoverse,Series,2015,Fighting,Bandai Namco Games  ,Dimps Corporation  ,,,,,,,,10.1,10.1
313,ARMA,Series,2007,Shooter,505 Games  ,Bohemia Interactive  ,,,,,,,,10,10
314,Assassin's Creed Odyssey,All,N/A,Action-Adventure,Unknown  ,Ubisoft Quebec  ,,,,,,,,10,10
315,Assassin's Creed Origins,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,10,10
316,Assassin's Creed Unity,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,10,10
317,Buzz!,Series,2005,Party,Sony Computer Entertainment Europe  ,Relentless Software  ,,,,,,,,10,10
318,Crash Bandicoot N. Sane Trilogy,All,N/A,Platform,Unknown  ,Vicarious Visions  ,,,,,,,,10,10
319,Dark Souls III,All,N/A,Role-Playing,Unknown  ,From Software  ,,,,,,,,10,10
320,Far Cry 3,All,N/A,Shooter,Unknown  ,Ubisoft Montreal  ,,,,,,,,10,10
321,Far Cry 4,All,N/A,Shooter,Unknown  ,Ubisoft Montreal  ,,,,,,,,10,10
322,Far Cry 5,All,N/A,Shooter,Unknown  ,Ubisoft  ,,,,,,,,10,10
323,FIFA 10,All,N/A,Sports,Unknown  ,EA Canada  ,,,,,,,,10,10
324,FIFA 12,All,N/A,Sports,Unknown  ,EA Canada  ,,,,,,,,10,10
325,Horizon,Series,2017,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  ,,,,,,,,10,10
326,Horizon: Zero Dawn,PS4,2017,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  ,9.1,8,,,,,,10,10
327,Killing Floor,Series,2009,Shooter,Tripwire Interactive  ,Tripwire Interactive  ,,,,,,,,10,10
328,Mario & Sonic at the Olympic Games,All,N/A,Sports,Unknown  ,Sega Sports R&D  ,,,,,,,,10,10
329,MX vs. ATV,Series,N/A,Racing,Unknown  ,Rainbow Studios  ,,,,,,,,10,10
330,NBA 2K18,All,N/A,Sports,Unknown  ,Visual Concepts  ,,,,,,,,10,10
331,Nobunaga's Ambition,Series,1983,Strategy,KOEI  ,Koei  ,,,,,,,,10,10
332,Pitfall,Series,1982,Platform,Activision  ,Activision  ,,,,,,,,10,10
333,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari  ,Frontier Developments  ,8.3,,,,,,,10,10
334,Sniper Elite,Series,2005,Shooter,Namco  ,Rebellion Developments  ,,,,,,,,10,10
335,Stardew Valley,Series,2016,Simulation,Chucklefish  ,ConcernedApe  ,,,,,,,,10,10
336,Taiko no Tatsujin,Series,2004,Music,Namco  ,Bandai Namco Studios  ,,,,,,,,10,10
337,The Settlers,Series,1993,Strategy,Blue Byte  ,Blue Byte  ,,,,,,,,10,10
338,The Sims 3,All,N/A,Simulation,Unknown  ,Maxis  ,,,,,,,,10,10
339,Tom Clancy's Ghost Recon Wildlands,All,N/A,Shooter,Unknown  ,Ubisoft Paris  ,,,,,,,,10,10
340,Tom Clancy's Rainbow Six Siege,All,N/A,Shooter,Unknown  ,Ubisoft Montreal  ,,,,,,,,10,10
341,Tom Clancy's The Division,All,N/A,Shooter,Unknown  ,Massive Entertainment  ,,,,,,,,10,10
342,Tom Clancy's The Division 2,All,N/A,Shooter,Unknown  ,Massive Entertainment  ,,,,,,,,10,10
343,Watch Dogs,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,10,10
344,Watch Dogs 2,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,10,10
345,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios  ,Bungie  ,9.3,,7.08,2.01,0.08,0.8,9.97,,9.97
346,Portal,PC,2008,Shooter,Valve Corporation  ,Valve Software  ,9,,,,,,,9.97,9.97
347,Halo 4,X360,2012,Shooter,Microsoft Studios  ,343 Industries  ,,,6.72,2.36,0.04,0.83,9.96,,9.96
348,The Binding of Isaac,Series,N/A,Action,Unknown  ,Edmund McMillen  ,,,,,,,,9.93,9.93
349,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment  ,SquareSoft  ,9.6,9.5,,,,,,9.9,9.9
350,SaGa,Series,1990,Role-Playing,Sunsoft  ,Square  ,,,,,,,,9.9,9.9
351,Mario Golf,Series,1991,Sports,Nintendo  ,Nintendo  ,,,,,,,,9.87,9.87
352,Mario Kart 64,N64,1997,Racing,Nintendo  ,Nintendo EAD  ,8.5,,,,,,,9.87,9.87
353,Resident Evil 6,All,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,,9.8,9.8
354,Dead or Alive,Series,1998,Fighting,Tecmo  ,Team Ninja  ,,,,,,,,9.7,9.7
355,Marvel vs. Capcom,Series,1996,Fighting,Capcom  ,Capcom  ,,,,,,,,9.7,9.7
356,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo  ,Bandai Namco Games  ,8.4,,,,,,,9.61,9.61
357,Final Fantasy VIII,All,N/A,Role-Playing,Unknown  ,Square  ,,,,,,,,9.6,9.6
358,Carnival Games,Series,2007,Party,Global Star Software  ,Cat Daddy Games  ,,,,,,,,9.5,9.5
359,Big Brain Academy,Series,N/A,Puzzle,Unknown  ,Nintendo  ,,,,,,,,9.49,9.49
360,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision  ,Infinity Ward  ,9.6,9,5.98,2.39,0.13,0.91,9.41,,9.41
361,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,,,,,,,9.37,9.37
362,Wii Party,Wii,2010,Misc,Nintendo  ,"Nd Cube Co., Ltd.  ",7,,,,,,,9.35,9.35
363,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision  ,Treyarch  ,,,4.05,3.28,0.5,1.49,9.32,,9.32
364,Mario Party DS,DS,2007,Misc,Nintendo  ,Hudson Soft  ,7.1,,,,,,,9.31,9.31
365,Donkey Kong Country,SNES,1994,Platform,Nintendo  ,Rare Ltd.  ,9,,,,,,,9.3,9.3
366,Half-Life,PC,1998,Shooter,Sierra Entertainment  ,Valve Software  ,9.5,,,,,,,9.3,9.3
367,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.3,6.3,,,,,,9.3,9.3
368,FIFA 19,PS4,2018,Sports,Electronic Arts  ,EA Sports  ,,,0.84,6.87,0.1,1.34,9.15,,9.15
369,Street Fighter IV,All,N/A,Fighting,Unknown  ,Capcom / Dimps Corporation  ,,,,,,,,9.1,9.1
370,Rust,PC,2018,Action-Adventure,Facepunch Studios  ,Facepunch Studios  ,6.1,,,,,,,9.02,9.02
371,Assassin's Creed II,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,9,9
372,Battlefield: Bad Company 2,All,N/A,Shooter,Unknown  ,EA DICE  ,,,,,,,,9,9
373,Payday,Series,2011,Shooter,Daybreak Games  ,Overkill Software  ,,,,,,,,9,9
374,Silent Hill,Series,1999,Action-Adventure,Konami  ,Konami Computer Entertainment Tokyo  ,,,,,,,,9,9
375,Star Wars Battlefront II (2017),All,N/A,Shooter,Unknown  ,EA DICE  ,,,,,,,,9,9
376,The Experience,Series,2010,Music,Ubisoft  ,Ubisoft  ,,,,,,,,9,9
377,Final Fantasy XV,All,N/A,Role-Playing,Unknown  ,Square Enix  ,,,,,,,,8.9,8.9
378,Pokémon: Ultra Sun and Ultra Moon,3DS,2017,Role-Playing,Nintendo  ,Game Freak  ,8.1,,,,,,,8.89,8.89
379,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.3,,5.1,2.83,0.1,0.85,8.88,,8.88
380,Mario Party 8,Wii,2007,Misc,Nintendo  ,Hudson Soft  ,6.5,,,,,,,8.85,8.85
381,Super Mario Kart,SNES,1992,Racing,Nintendo  ,Nintendo EAD  ,10,,,,,,,8.76,8.76
382,Grand Theft Auto V,XOne,2014,Action,Rockstar Games  ,Rockstar North  ,9,9,4.7,3.25,0.01,0.76,8.72,,8.72
383,Final Fantasy VIII,PS,1999,Role-Playing,Square EA  ,SquareSoft  ,9.4,,,,,,,8.6,8.6
384,Final Fantasy X,PS2,2001,Role-Playing,Square  ,SquareSoft  ,9,10,,,,,,8.6,8.6
385,Pokémon Black 2 and White 2,DS,2012,Role-Playing,Nintendo  ,Game Freak  ,8,8.3,,,,,,8.52,8.52
386,NBA 2K17,All,N/A,Sports,Unknown  ,Visual Concepts  ,,,,,,,,8.5,8.5
387,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision  ,Infinity Ward  ,,,3.11,3.83,0.19,1.36,8.48,,8.48
388,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.6,,2.91,3.97,0.27,1.34,8.48,,8.48
389,Mario Kart 8,WiiU,2014,Racing,Nintendo  ,Nintendo  ,8.8,,,,,,,8.45,8.45
390,Onimusha,Series,2001,Action-Adventure,Capcom  ,Capcom  ,,,,,,,,8.4,8.4
391,Tekken 3,PS,1998,Fighting,Namco  ,Namco  ,9.6,,,,,,,8.36,8.36
392,New Super Mario Bros. U Deluxe,NS,2019,Platform,Nintendo  ,Nintendo EPD  ,,6.6,,,,,,8.32,8.32
393,Monster Hunter 4,All,N/A,Role-Playing,Unknown  ,Capcom  ,,,,,,,,8.3,8.3
394,Resident Evil 7,All,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,,8.3,8.3
395,FIFA 16,PS4,2015,Sports,EA Sports  ,EA Canada  ,8.5,,1.15,5.77,0.07,1.23,8.22,,8.22
396,Lego Star Wars II: The Original Trilogy,All,N/A,Action-Adventure,Unknown  ,Unknown  ,,,,,,,,8.2,8.2
397,Monster Hunter Generations,All,N/A,Role-Playing,Unknown  ,Capcom  ,,,,,,,,8.2,8.2
398,The Last of Us,PS3,2013,Action-Adventure,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,,,,,,,8.15,8.15
399,GoldenEye 007,N64,1997,Shooter,Nintendo  ,Rare Ltd.  ,9.8,,,,,,,8.09,8.09
400,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts  ,EA DICE  ,7.1,,3.31,3.19,0.23,1.3,8.03,,8.03
401,FIFA 13,PS3,2012,Sports,EA Sports  ,EA Canada  ,,,1.07,5.13,0.13,1.68,8.01,,8.01
402,Assassin's Creed,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,8,8
403,Grand Theft Auto: Liberty City Stories,All,N/A,Action-Adventure,Unknown  ,Rockstar Leeds/North  ,,,,,,,,8,8
404,Guitar Hero III: Legends of Rock,All,N/A,Music,Unknown  ,Neversoft  ,,,,,,,,8,8
405,Halo 2,XB,2004,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,,,,,,,8,8
406,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts  ,Argonaut Games  ,8,,,,,,,8,8
407,Inazuma Eleven,Series,2008,Role-Playing,Level 5  ,Level 5  ,,,,,,,,8,8
408,Kinect Sports,Series,2010,Sports,Microsoft Game Studios  ,Rare  ,,,,,,,,8,8
409,Mortal Kombat 11,All,N/A,Fighting,Unknown  ,NetherRealm Studios  ,,,,,,,,8,8
410,Moto Racer,Series,1997,Racing,Electronic Arts  ,SK Software International  ,,,,,,,,8,8
411,NBA 2K16,All,N/A,Sports,Unknown  ,Visual Concepts  ,,,,,,,,8,8
412,Sid Meier's Civilization V,PC,2010,Strategy,2K Games  ,Firaxis Games  ,8.9,,,,,,,8,8
413,Unreal,Series,1998,Shooter,GT Interactive  ,Epic Games  ,,,,,,,,8,8
414,The Sims 3,PC,2009,Simulation,Electronic Arts  ,EA Redwood Shores  ,8.5,,1.01,6.46,,0.5,7.96,,7.96
415,Ace Attorney,Series,2005,Adventure,Capcom  ,Capcom  ,,,,,,,,7.9,7.9
416,Luigi's Mansion 3,NS,2019,Action-Adventure,Nintendo  ,"Next Level Games, Inc.  ",,,,,,,,7.83,7.83
417,FIFA 09,All,N/A,Sports,Unknown  ,EA Canada  ,,,,,,,,7.8,7.8
418,Romance of the Three Kingdoms,Series,1985,Strategy,KOEI  ,Koei  ,,,,,,,,7.76,7.76
419,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Games  ,Rockstar Leeds  ,8.8,,2.9,2.83,0.24,1.74,7.72,,7.72
420,Final Fantasy XII,All,N/A,Role-Playing,Unknown  ,Square Enix  ,,,,,,,,7.71,7.71
421,Final Fantasy XIII,All,N/A,Role-Playing,Unknown  ,Square Enix  ,,,,,,,,7.71,7.71
422,Pac-Man,2600,1982,Puzzle,Atari  ,Atari  ,,,,,,,,7.7,7.7
423,God of War III,PS3,2010,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.2,9.4,,,,,,7.6,7.6
424,Pokémon Platinum Version,DS,2009,Role-Playing,Nintendo  ,Game Freak  ,8.3,8.9,,,,,,7.6,7.6
425,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo  ,Nintendo EAD  ,9.9,10,,,,,,7.6,7.6
426,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision  ,Sledgehammer Games  ,8.5,,2.84,3.34,0.14,1.22,7.53,,7.53
427,Crysis,Series,2007,Shooter,Electronic Arts  ,Crytek  ,,,,,,,,7.5,7.5
428,Resident Evil 2 (2019),All,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,,7.5,7.5
429,Call of Duty: World at War,X360,2008,Shooter,Activision  ,Treyarch  ,8.5,7.8,4.88,1.91,,0.71,7.5,,7.5
430,Baldur's Gate,Series,2000,Role-Playing,Interplay Entertainment Corp.  ,BioWare  ,,,,,,,,7.47,7.47
431,Super Mario Bros. 2,NES,1988,Platform,Nintendo  ,Nintendo EAD  ,,,,,,,,7.46,7.46
432,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,,,,,,7.41,7.41
433,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo  ,HAL Laboratory  ,9.2,,,,,,,7.41,7.41
434,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision  ,Treyarch  ,,,4.63,2.04,0.02,0.68,7.37,,7.37
435,Battlefield 3,X360,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,4.47,2.12,0.06,0.69,7.35,,7.35
436,Battlefield V,All,N/A,Shooter,Unknown  ,EA DICE  ,,,,,,,,7.3,7.3
437,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016,Role-Playing,Nintendo  ,Level 5  ,,,,,,,,7.3,7.3
438,Ark,Series,2017,Action-Adventure,Studio Wildcard  ,Studio Wildcard  ,,,,,,,,7.26,7.26
439,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,,,,,,7.26,7.26
440,Battlefield 1,PS4,2016,Shooter,Electronic Arts  ,EA DICE  ,9.1,,2.2,3.65,0.29,1.12,7.26,,7.26
441,Battlefield 3,PS3,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,2.86,2.94,0.35,1.07,7.21,,7.21
442,Need for Speed Underground,PS2,2003,Racing,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2,,7.2
443,Assassin's Creed: Brotherhood,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,7.2,7.2
444,Megami Tensei,Series,2004,Role-Playing,Atlus  ,Atlus  ,,,,,,,,7.2,7.2
445,The Binding of Isaac,PC,2011,Action,Edmund McMillen  ,Edmund McMillen  ,8.3,,,,,,,7.17,7.17
446,Tomb Raider,All,N/A,Action-Adventure,Unknown  ,Core Design  ,,,,,,,,7.16,7.16
447,Xeno,Series,1998,Role-Playing,Square  ,Square  ,,,,,,,,7.07,7.07
448,Pokémon Emerald Version,GBA,2005,Role-Playing,Nintendo  ,Game Freak  ,7.7,,,,,,,7.06,7.06
449,Assassin's Creed: Revelations,All,N/A,Action-Adventure,Unknown  ,Ubisoft Montreal  ,,,,,,,,7,7
450,Guild Wars 2,PC,2012,Role-Playing,NCSoft  ,ArenaNet  ,,,,,,,,7,7
451,Just Dance 3,All,N/A,Music,Unknown  ,Ubisoft  ,,,,,,,,7,7
452,Mafia III,All,N/A,Action-Adventure,Unknown  ,Hangar 13  ,,,,,,,,7,7
453,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami  ,Konami Computer Entertainment Japan  ,9.5,7,,,,,,7,7
454,NBA 2K14,All,N/A,Sports,Unknown  ,Visual Concepts  ,,,,,,,,7,7
455,NBA 2K15,All,N/A,Sports,Unknown  ,Visual Concepts  ,,,,,,,,7,7
456,Oddworld,Series,1997,Action-Adventure,GT Interactive  ,Oddworld Inhabitants  ,,,,,,,,7,7
457,Project Gotham Racing,Series,2001,Racing,Sega  ,Bizarre Creations  ,,,,,,,,7,7
458,Rise of the Tomb Raider,All,N/A,Action-Adventure,Unknown  ,Crystal Dynamics  ,,,,,,,,7,7
459,Rugrats,Series,1999,Action-Adventure,THQ  ,Realtime Associates  ,,,,,,,,7,7
460,Samurai Warriors,Series,2004,Action,KOEI  ,Omega Force  ,,,,,,,,7,7
461,"Warhammer 40,000: Dawn of War",Series,N/A,Strategy,Unknown  ,Relic Entertainment  ,,,,,,,,7,7
462,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9,,6.9
463,Just Dance 4,Wii,2012,Music,Ubisoft  ,Ubisoft  ,,,4.05,2.21,,0.62,6.89,,6.89
464,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo  ,Nintendo EAD  ,8.5,,,,,,,6.88,6.88
465,Tomb Raider II,All,N/A,Action-Adventure,Unknown  ,Core Design  ,,,,,,,,6.85,6.85
466,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts  ,EA Los Angeles  ,9,,2.93,2.75,0.17,0.99,6.83,,6.83
467,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,7.8,,,,,,,6.82,6.82
468,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74,,6.74
469,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72,,6.72
470,Lego Star Wars: The Video Game,All,N/A,Action-Adventure,Unknown  ,Unknown  ,,,,,,,,6.7,6.7
471,Star Wars: Knights of the Old Republic,Series,2003,Role-Playing,LucasArts  ,BioWare  ,,,,,,,,6.7,6.7
472,Dead Space,Series,N/A,Action-Adventure,Unknown  ,EA Redwood Shores  ,,,,,,,,6.67,6.67
473,FIFA Soccer 12,PS3,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65,,6.65
474,Tomodachi Life,3DS,2014,Simulation,Nintendo  ,Nintendo  ,7.8,,,,,,,6.63,6.63
475,FIFA 14,PS3,2013,Sports,EA Sports  ,EA Canada  ,,,0.79,4.77,0.07,0.98,6.61,,6.61
476,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9,,,,,,,6.6,6.6
477,Ben 10,Series,N/A,Action-Adventure,Unknown  ,High Voltage Software  ,,,,,,,,6.6,6.6
478,Monster Hunter World: Iceborne,All,N/A,Role-Playing,Unknown  ,Capcom  ,,,,,,,,6.6,6.6
479,Red Dead Redemption,PS3,2011,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1,6.57,,6.57
480,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo  ,Retro Studios  ,8.6,,,,,,,6.53,6.53
481,Mario & Sonic at the Olympic Winter Games,All,N/A,Sports,Unknown  ,Sega Sports R&D  ,,,,,,,,6.53,6.53
482,The Legend of Zelda,NES,1987,Adventure,Nintendo  ,Nintendo EAD  ,,,,,,,,6.51,6.51
483,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5,,6.5
484,Guild Wars,PC,2005,Role-Playing,NCSoft  ,ArenaNet  ,8.7,,,,,,,6.5,6.5
