Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
936,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts  ,The Collective  ,,,1.47,1.39,0.03,0.43,3.32,,3.32
937,Max Payne,PS2,2001,Shooter,Rockstar Games  ,Remedy Entertainment  ,8.1,,1.99,1.05,0.05,0.22,3.31,,3.31
938,Madden NFL 16,PS4,2015,Sports,EA Sports  ,EA Tiburon  ,8.2,,2.39,0.31,,0.61,3.3,,3.3
939,Commandos,Series,1998,Strategy,Eidos Interactive  ,Pyro Studios  ,,,,,,,,3.3,3.3
940,Sonic Colors,All,N/A,Platform,Unknown  ,Sonic Team/Dimps Corporation  ,,,,,,,,3.3,3.3
941,World of Warcraft: Legion,PC,2016,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,3.3,3.3
942,World of Warcraft: Warlords of Draenor,PC,2014,MMO,Activision Blizzard  ,Blizzard Entertainment  ,,,,,,,,3.3,3.3
943,Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games  ,From Software  ,,,,,,,,3.29,3.29
944,Dark Souls: Prepare to Die Edition,PC,2012,Role-Playing,Namco Bandai Games  ,From Software  ,,,,,,,,3.29,3.29
945,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",8.4,,1.5,1.28,0.05,0.46,3.28,,3.28
946,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment  ,Insomniac Games  ,9.1,,,,,,,3.28,3.28
947,Half-Life 2: Episode Two,PC,2007,Shooter,Valve Software  ,Valve Corporation  ,9.1,,,,,,,3.28,3.28
948,The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action-Adventure,Nintendo  ,GREZZO  ,9,,,,,,,3.28,3.28
949,Madden NFL 17,PS4,2016,Sports,EA Sports  ,EA Tiburon  ,8.5,,2.3,0.37,,0.6,3.28,,3.28
950,True Crime: Streets of LA,PS2,2003,Action,Activision  ,Luxoflux  ,,,1.89,1.05,0.02,0.31,3.27,,3.27
951,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,,,0.51,1.59,0.31,0.86,3.27,,3.27
952,Far Cry 3,PS3,2012,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,0.88,1.79,0.1,0.5,3.27,,3.27
953,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment  ,Ready at Dawn  ,8.9,9.5,,,,,,3.26,3.26
954,FIFA 16,XOne,2015,Sports,EA Sports  ,EA Canada  ,8.5,,0.92,2.1,,0.24,3.25,,3.25
